aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium
3.13,28.19,0.00,0.25,0.00,3.58,0.68,1.29,1.04,0.49,0.00,0.08,15.05,1.09,0.01,23.68,3.39,0.01,0.20,0.03
1.15,8.12,0.02,0.97,0.01,3.47,0.65,1.51,1.46,0.58,0.58,0.06,8.96,1.50,0.00,14.60,1.74,0.03,0.01,0.06
0.29,13.74,0.02,0.52,0.01,2.99,0.11,1.14,0.36,0.13,0.01,0.07,18.70,1.25,0.00,39.31,2.18,0.04,0.01,0.02
0.27,10.67,0.02,0.55,0.00,3.74,0.12,1.77,0.43,0.80,0.80,0.11,12.69,1.18,0.01,34.64,0.90,0.02,0.16,0.06
1.09,28.84,0.01,2.16,0.00,1.26,0.85,1.59,1.04,0.08,0.01,0.14,6.48,1.43,0.01,44.66,2.67,0.05,0.35,0.08
3.31,22.07,0.03,0.46,0.00,7.22,0.73,1.05,1.00,0.25,0.01,0.11,1.92,1.07,0.00,39.40,0.49,0.04,0.47,0.05
0.94,10.83,0.01,3.94,0.01,5.38,0.72,0.30,0.52,0.38,0.00,0.13,8.21,1.28,0.01,43.79,4.27,0.06,0.25,0.05
1.82,6.81,0.01,0.85,0.01,2.55,0.25,1.09,1.35,0.16,0.00,0.03,16.99,1.70,0.01,44.76,1.15,0.08,0.26,0.08
0.86,18.64,0.04,1.31,0.00,5.47,0.04,1.97,0.59,0.18,0.01,0.17,5.03,1.84,0.00,38.49,7.12,0.07,0.28,0.01
4.41,15.14,0.03,1.76,0.01,6.63,0.62,1.57,0.26,0.69,0.69,0.18,1.49,1.81,0.01,24.91,2.39,0.01,0.20,0.05
3.63,3.53,0.03,2.79,0.01,4.08,0.81,1.23,0.75,0.79,0.79,0.03,15.92,1.87,0.00,38.51,7.18,0.07,0.45,0.03
1.69,22.80,0.00,2.01,0.00,5.87,0.78,1.53,0.87,0.13,0.01,0.08,8.64,1.19,0.01,24.61,7.77,0.06,0.11,0.05
3.26,21.24,0.05,3.86,0.01,2.49,0.51,1.06,0.10,0.84,0.84,0.14,15.88,1.25,0.00,55.98,4.87,0.08,0.02,0.07
1.87,6.10,0.05,3.74,0.01,2.86,0.52,1.03,0.51,0.77,0.77,0.01,1.11,1.55,0.01,20.32,2.21,0.02,0.48,0.04
3.88,21.08,0.01,3.74,0.01,3.43,0.02,0.19,0.52,0.74,0.74,0.06,6.69,1.79,0.00,55.67,6.65,0.00,0.42,0.02
2.71,26.19,0.04,3.02,0.01,4.00,0.17,1.56,0.91,0.38,0.01,0.01,11.00,1.00,0.01,14.16,6.16,0.05,0.05,0.08
3.03,13.84,0.01,3.92,0.01,7.81,0.41,1.97,0.61,0.52,0.52,0.10,13.32,1.74,0.01,48.78,2.95,0.01,0.12,0.02
4.49,4.07,0.05,1.87,0.01,4.55,0.32,0.90,0.55,0.30,0.00,0.14,5.23,1.43,0.00,36.52,6.15,0.04,0.16,0.04
2.85,28.55,0.02,1.67,0.01,2.79,0.60,0.42,1.13,0.05,0.00,0.05,12.29,1.37,0.01,55.21,1.29,0.08,0.12,0.04
3.52,23.19,0.03,2.69,0.01,4.94,0.76,1.85,1.24,0.75,0.75,0.12,1.91,1.00,0.01,24.84,3.19,0.08,0.37,0.06
1.38,18.97,0.04,1.47,0.01,1.78,0.03,1.34,0.26,0.07,0.01,0.11,1.51,1.40,0.01,49.53,2.73,0.09,0.11,0.04
4.35,26.85,0.02,0.88,0.00,0.64,0.61,0.91,0.42,0.44,0.01,0.11,13.24,1.19,0.01,0.73,0.50,0.04,0.35,0.00
1.96,16.66,0.00,2.93,0.01,4.41,0.71,1.14,1.14,0.45,0.00,0.05,8.62,1.34,0.01,46.20,7.02,0.02,0.42,0.04
3.37,1.07,0.04,1.86,0.00,2.90,0.84,1.92,1.20,0.32,0.00,0.08,18.91,1.73,0.01,23.60,0.37,0.02,0.46,0.08
2.67,18.79,0.02,0.07,0.00,2.69,0.31,1.21,1.21,0.83,0.83,0.11,8.23,1.59,0.00,36.31,6.11,0.04,0.34,0.05
1.51,0.14,0.02,0.06,0.00,5.71,0.88,1.71,1.42,0.27,0.00,0.10,16.16,1.25,0.01,17.24,2.30,0.07,0.00,0.00
1.12,14.79,0.04,3.08,0.01,6.06,0.68,1.30,0.50,0.10,0.01,0.04,2.08,1.69,0.01,54.32,0.86,0.01,0.19,0.02
2.68,9.02,0.04,3.98,0.00,0.22,0.09,0.54,0.14,0.27,0.00,0.07,8.43,1.84,0.01,21.79,2.91,0.08,0.43,0.09
0.43,28.29,0.01,0.88,0.01,3.55,0.65,0.01,0.43,0.27,0.01,0.03,5.85,1.28,0.00,52.70,5.14,0.01,0.06,0.05
0.30,0.44,0.00,2.50,0.01,6.11,0.35,1.79,0.89,0.67,0.67,0.14,14.27,1.73,0.01,16.99,4.12,0.09,0.42,0.01
4.64,22.51,0.04,2.97,0.01,6.57,0.41,1.44,0.58,0.96,0.96,0.19,9.99,1.90,0.01,48.08,6.53,0.02,0.21,0.08
0.23,23.16,0.00,3.50,0.00,0.68,0.47,0.54,1.33,0.05,0.00,0.17,11.59,1.20,0.01,28.03,0.92,0.07,0.03,0.08
4.75,15.62,0.02,3.18,0.00,1.28,0.52,1.64,0.86,0.64,0.64,0.03,10.07,1.74,0.01,54.15,6.46,0.03,0.35,0.06
2.55,20.81,0.04,2.80,0.00,7.70,0.82,0.44,1.20,0.77,0.77,0.11,10.09,1.34,0.00,11.00,1.53,0.01,0.27,0.06
3.32,21.84,0.03,3.45,0.01,6.10,0.23,0.76,1.16,0.79,0.79,0.05,16.88,1.40,0.01,59.03,4.29,0.07,0.08,0.00
4.32,10.15,0.04,1.98,0.00,7.97,0.32,1.98,0.66,0.06,0.01,0.10,7.22,1.69,0.01,5.20,5.63,0.04,0.12,0.01
2.66,22.84,0.01,2.09,0.01,3.32,0.79,1.57,0.66,0.58,0.58,0.07,13.52,1.58,0.01,30.98,3.32,0.05,0.32,0.06
0.24,8.63,0.04,1.07,0.01,6.19,0.49,0.65,0.90,0.58,0.58,0.09,10.16,1.21,0.00,10.21,5.80,0.05,0.24,0.05
2.85,23.02,0.03,2.24,0.00,0.46,0.02,1.77,0.62,0.14,0.01,0.14,14.86,1.19,0.00,27.85,7.60,0.01,0.45,0.05
0.42,3.22,0.01,0.65,0.01,0.90,0.83,1.08,0.15,0.23,0.01,0.18,2.67,1.21,0.00,13.90,4.86,0.00,0.21,0.05
0.04,13.18,0.02,2.44,0.00,4.80,0.33,0.73,0.68,0.45,0.01,0.05,17.71,1.73,0.01,58.40,6.60,0.10,0.06,0.04
0.77,12.40,0.05,3.45,0.01,4.50,0.04,0.14,1.01,0.42,0.00,0.02,9.11,1.69,0.01,30.41,4.34,0.01,0.35,0.00
2.22,29.68,0.03,2.86,0.01,4.54,0.72,0.14,1.42,1.00,1.00,0.08,11.30,1.46,0.01,33.09,4.96,0.00,0.16,0.05
0.60,2.21,0.00,3.53,0.00,0.88,0.64,1.26,0.83,0.77,0.77,0.09,11.38,1.68,0.00,31.60,2.75,0.09,0.24,0.08
0.47,26.77,0.02,0.29,0.01,7.36,0.15,1.65,0.08,0.51,0.51,0.03,13.73,1.53,0.00,30.29,4.41,0.08,0.34,0.06
0.58,29.19,0.02,1.71,0.01,1.13,0.53,1.34,0.03,0.98,0.98,0.07,10.90,1.45,0.01,2.75,3.81,0.05,0.18,0.02
1.79,16.60,0.03,2.36,0.00,3.20,0.42,1.67,1.21,0.65,0.65,0.04,10.34,1.51,0.01,45.87,0.25,0.06,0.12,0.05
3.82,13.59,0.01,0.84,0.00,3.85,0.23,1.69,1.47,0.05,0.01,0.12,5.54,1.13,0.01,14.98,6.13,0.03,0.48,0.05
2.50,10.25,0.03,1.50,0.01,3.11,0.52,1.89,1.18,0.75,0.75,0.09,7.08,1.66,0.00,45.37,3.40,0.07,0.29,0.07
2.78,3.14,0.02,0.22,0.01,6.16,0.47,1.75,1.28,0.23,0.01,0.18,16.44,1.24,0.00,40.47,4.91,0.01,0.17,0.08
4.15,19.07,0.00,1.99,0.01,4.43,0.84,0.85,1.01,0.19,0.01,0.05,2.09,1.22,0.01,50.87,4.14,0.01,0.02,0.01
3.62,3.82,0.00,0.58,0.00,7.06,0.45,1.61,0.45,0.24,0.00,0.15,18.77,1.69,0.00,23.25,4.39,0.10,0.33,0.03
3.78,19.17,0.05,0.76,0.01,6.60,0.70,0.29,0.50,0.70,0.70,0.14,18.77,1.99,0.00,35.36,3.09,0.02,0.38,0.02
4.64,19.96,0.03,3.02,0.01,4.40,0.89,0.38,0.02,0.76,0.76,0.12,7.47,1.37,0.01,29.55,3.29,0.07,0.26,0.09
4.30,16.35,0.03,2.90,0.01,5.14,0.29,1.50,0.25,0.02,0.00,0.08,6.22,1.91,0.01,50.04,1.39,0.02,0.11,0.00
2.25,12.28,0.02,2.16,0.00,4.89,0.36,0.34,0.14,0.06,0.00,0.09,14.33,1.07,0.00,34.47,3.75,0.01,0.02,0.06
3.24,2.01,0.00,1.60,0.00,0.40,0.24,1.52,0.76,0.57,0.57,0.16,7.89,1.91,0.00,58.58,3.04,0.10,0.20,0.08
0.54,22.33,0.02,2.27,0.00,6.57,0.89,0.93,0.20,0.51,0.51,0.11,5.88,1.48,0.00,29.48,0.63,0.04,0.43,0.05
2.47,25.20,0.04,1.01,0.01,2.78,0.04,0.87,0.16,0.41,0.00,0.04,6.83,1.42,0.01,46.06,5.99,0.02,0.40,0.05
4.62,8.70,0.04,3.11,0.01,2.15,0.71,0.70,0.32,0.65,0.65,0.17,2.43,1.16,0.00,18.61,1.44,0.09,0.31,0.01
1.22,23.18,0.04,3.65,0.00,4.43,0.63,1.94,1.27,0.08,0.01,0.19,13.32,1.93,0.01,23.84,4.80,0.08,0.22,0.07
2.50,10.59,0.01,0.57,0.00,2.38,0.26,1.55,1.09,0.72,0.72,0.14,13.82,1.45,0.00,33.95,7.40,0.09,0.37,0.03
4.19,23.37,0.05,1.65,0.01,7.09,0.47,1.95,1.38,0.46,0.00,0.19,18.27,1.03,0.01,29.38,2.40,0.05,0.35,0.02
3.08,8.83,0.05,2.24,0.00,4.77,0.03,1.11,0.36,0.27,0.01,0.19,16.25,1.56,0.01,3.77,7.81,0.01,0.21,0.05
4.07,10.36,0.01,3.29,0.00,0.41,0.39,0.55,1.27,0.61,0.61,0.09,16.37,1.10,0.01,53.02,2.53,0.09,0.37,0.05
2.73,19.42,0.02,1.78,0.01,1.97,0.74,0.18,0.13,0.79,0.79,0.13,9.40,1.68,0.01,25.97,6.35,0.00,0.17,0.06
3.55,26.04,0.03,1.94,0.01,0.01,0.34,0.37,1.29,0.62,0.62,0.12,12.41,1.05,0.01,49.82,2.73,0.04,0.03,0.08
3.02,8.17,0.00,3.76,0.00,3.40,0.29,1.28,0.32,0.53,0.53,0.18,0.80,1.09,0.01,8.33,6.53,0.01,0.32,0.02
3.15,17.13,0.01,2.63,0.00,7.80,0.40,1.24,0.92,0.42,0.01,0.17,6.13,1.06,0.00,37.72,5.90,0.08,0.21,0.01
2.35,14.14,0.02,2.86,0.01,5.27,0.01,0.71,0.52,0.39,0.01,0.15,7.72,1.57,0.00,27.48,2.92,0.07,0.41,0.01
0.18,11.66,0.04,0.86,0.01,3.49,0.80,1.54,0.32,0.33,0.01,0.04,18.58,1.36,0.01,57.74,7.25,0.06,0.28,0.08
2.45,27.89,0.02,3.25,0.00,3.35,0.77,1.99,0.22,0.25,0.01,0.09,3.29,1.88,0.01,15.08,2.35,0.09,0.09,0.03
3.86,11.02,0.01,3.64,0.00,3.83,0.14,1.04,1.39,0.07,0.01,0.18,3.45,1.15,0.01,53.68,6.42,0.03,0.43,0.05
3.30,9.33,0.04,1.28,0.01,7.56,0.22,0.95,0.28,0.53,0.53,0.18,18.60,1.21,0.01,3.26,0.28,0.08,0.08,0.09
1.25,5.66,0.00,0.87,0.01,3.81,0.15,0.33,1.33,0.59,0.59,0.14,11.06,1.92,0.01,50.93,4.39,0.01,0.39,0.01
1.19,25.95,0.01,0.75,0.01,0.13,0.18,1.44,0.30,0.18,0.00,0.16,2.31,1.36,0.01,38.31,5.41,0.01,0.32,0.00
2.29,16.05,0.01,0.29,0.01,5.07,0.19,1.64,0.61,1.00,1.00,0.04,11.26,1.49,0.01,45.26,4.33,0.02,0.28,0.08
0.85,10.38,0.05,0.17,0.01,7.52,0.89,0.52,0.32,0.31,0.00,0.11,3.55,1.79,0.00,6.24,4.15,0.01,0.10,0.02
4.18,29.27,0.05,1.03,0.00,0.50,0.77,1.51,0.36,0.78,0.78,0.16,13.48,1.59,0.01,46.26,6.20,0.07,0.12,0.07
0.50,9.32,0.03,2.99,0.00,3.57,0.85,1.01,0.68,0.11,0.01,0.13,15.08,1.36,0.01,21.89,2.24,0.00,0.12,0.01
2.40,26.12,0.03,3.57,0.00,5.29,0.30,0.78,0.09,0.83,0.83,0.14,10.49,1.47,0.01,48.81,4.63,0.09,0.18,0.05
1.89,15.42,0.05,1.38,0.00,6.02,0.33,0.22,0.01,0.76,0.76,0.05,14.91,1.06,0.01,21.87,4.74,0.01,0.26,0.05
3.08,16.77,0.03,1.81,0.00,0.05,0.03,0.04,1.16,0.51,0.51,0.04,5.17,1.47,0.01,51.61,3.72,0.04,0.14,0.08
3.75,17.69,0.04,1.87,0.01,1.12,0.38,0.22,1.09,0.57,0.57,0.10,10.34,1.04,0.00,5.73,1.08,0.04,0.03,0.01
3.36,19.29,0.03,0.56,0.00,4.68,0.35,1.37,0.65,0.09,0.01,0.03,10.99,1.63,0.01,44.04,6.75,0.06,0.42,0.02
1.75,13.74,0.01,1.36,0.00,0.19,0.51,1.50,0.69,0.82,0.82,0.05,1.08,1.24,0.01,8.65,6.98,0.05,0.15,0.07
4.46,28.08,0.02,3.93,0.00,5.10,0.38,0.52,0.22,0.69,0.69,0.06,12.59,1.37,0.00,47.56,6.63,0.03,0.14,0.07
0.94,2.84,0.01,3.54,0.01,1.85,0.15,1.99,1.29,0.86,0.86,0.05,7.52,1.50,0.00,46.24,3.95,0.04,0.14,0.02
0.57,4.63,0.04,1.31,0.01,4.23,0.49,0.75,0.44,0.68,0.68,0.16,15.47,1.05,0.00,53.72,7.42,0.04,0.30,0.04
2.76,4.15,0.02,2.00,0.01,4.25,0.19,1.23,0.86,0.87,0.87,0.02,16.16,1.18,0.01,34.48,1.62,0.01,0.21,0.08
1.32,17.66,0.01,0.12,0.00,7.95,0.03,0.57,1.44,0.44,0.00,0.09,7.26,1.37,0.01,40.33,2.68,0.02,0.30,0.07
0.43,13.55,0.03,3.28,0.00,2.38,0.17,0.25,1.25,0.70,0.70,0.13,15.72,1.81,0.00,10.88,5.41,0.03,0.11,0.07
2.59,5.80,0.00,1.99,0.00,6.45,0.07,0.65,1.50,0.79,0.79,0.12,11.34,1.97,0.00,46.13,2.35,0.01,0.31,0.06
2.63,19.11,0.02,1.74,0.01,1.89,0.69,0.87,0.69,0.55,0.55,0.15,5.91,1.31,0.01,39.05,4.15,0.01,0.38,0.08
2.75,26.64,0.00,0.19,0.00,1.67,0.77,0.05,1.43,0.92,0.92,0.04,4.18,1.85,0.01,53.91,2.01,0.01,0.23,0.01
0.88,11.12,0.04,0.92,0.01,4.59,0.85,1.10,1.48,0.75,0.75,0.15,8.25,1.38,0.01,10.75,1.20,0.02,0.27,0.02
0.81,20.38,0.04,3.53,0.00,2.13,0.41,0.79,0.59,0.49,0.01,0.02,3.34,1.67,0.00,42.00,6.25,0.06,0.35,0.09
3.03,9.19,0.05,0.65,0.01,6.25,0.61,0.77,0.76,0.51,0.51,0.09,10.31,1.17,0.00,31.57,6.36,0.02,0.17,0.08
4.08,20.19,0.04,3.34,0.01,5.23,0.86,1.94,0.80,0.32,0.00,0.12,12.77,1.54,0.01,56.44,1.51,0.01,0.27,0.04
4.91,18.02,0.04,0.13,0.01,5.22,0.84,0.62,0.97,0.23,0.01,0.12,8.90,1.30,0.00,6.87,5.77,0.01,0.03,0.07
2.42,2.15,0.03,1.99,0.00,6.20,0.03,1.33,1.00,0.18,0.01,0.15,16.52,1.48,0.01,43.40,3.36,0.07,0.27,0.06
1.15,20.06,0.02,2.73,0.01,1.86,0.81,0.36,0.73,0.47,0.00,0.00,14.01,1.36,0.01,10.62,4.48,0.03,0.38,0.02
1.43,19.60,0.03,2.01,0.00,5.07,0.05,1.04,1.19,0.18,0.00,0.08,8.12,1.62,0.01,43.64,7.94,0.03,0.36,0.00
4.80,11.92,0.05,3.20,0.01,7.37,0.46,1.43,1.49,0.58,0.58,0.16,6.03,1.25,0.00,33.02,6.74,0.00,0.42,0.00
1.66,2.34,0.03,2.39,0.00,4.98,0.55,0.88,1.45,0.58,0.58,0.07,12.79,1.17,0.01,57.83,5.78,0.04,0.26,0.01
1.62,6.54,0.01,1.46,0.00,3.07,0.11,0.05,1.21,0.33,0.00,0.02,1.72,1.02,0.00,3.47,6.28,0.09,0.47,0.01
3.38,18.93,0.01,2.22,0.00,0.97,0.18,0.46,1.43,0.43,0.00,0.08,17.54,1.47,0.01,31.61,2.01,0.02,0.25,0.06
2.68,9.61,0.02,1.32,0.01,2.89,0.69,0.16,0.87,0.67,0.67,0.18,11.22,1.65,0.00,28.47,7.28,0.07,0.12,0.01
4.42,23.51,0.04,0.82,0.00,0.54,0.63,1.33,1.37,0.09,0.01,0.04,11.36,1.95,0.00,36.15,1.83,0.07,0.03,0.02
0.09,12.26,0.04,3.61,0.00,3.58,0.47,0.13,1.29,0.82,0.82,0.07,12.75,1.37,0.01,32.48,1.45,0.02,0.31,0.04
3.43,24.07,0.05,2.76,0.00,4.40,0.09,0.37,0.49,0.14,0.01,0.19,11.24,1.89,0.01,47.29,4.85,0.06,0.18,0.02
4.66,0.27,0.04,0.16,0.00,6.75,0.09,1.72,0.89,0.09,0.01,0.18,10.20,1.47,0.00,25.77,5.26,0.00,0.10,0.08
3.65,15.61,0.02,2.15,0.01,2.80,0.34,0.98,0.23,0.93,0.93,0.16,5.03,1.49,0.01,45.98,3.73,0.06,0.28,0.05
2.74,14.81,0.02,3.84,0.01,7.97,0.25,0.65,0.73,0.53,0.53,0.13,4.13,1.14,0.01,33.97,2.20,0.05,0.05,0.05
4.86,12.48,0.00,2.99,0.01,7.47,0.79,0.71,1.26,0.75,0.75,0.10,18.18,1.29,0.01,23.82,6.90,0.03,0.39,0.07
3.52,2.07,0.04,2.46,0.01,1.33,0.32,0.94,0.26,0.28,0.01,0.02,10.78,1.37,0.00,22.90,4.23,0.06,0.03,0.04
0.73,22.36,0.04,2.93,0.00,5.92,0.71,0.53,0.95,0.19,0.00,0.01,12.18,1.29,0.01,33.58,3.57,0.03,0.01,0.05
1.82,9.20,0.01,1.74,0.01,0.63,0.30,1.70,0.29,0.78,0.78,0.19,12.75,1.66,0.01,33.24,2.58,0.03,0.40,0.04
2.15,25.90,0.01,2.56,0.00,1.81,0.11,1.96,1.32,0.85,0.85,0.19,13.28,1.37,0.00,52.71,2.96,0.09,0.32,0.09
2.91,5.19,0.02,2.66,0.01,5.07,0.33,0.72,0.42,0.75,0.75,0.07,12.32,1.26,0.01,21.38,3.49,0.00,0.38,0.03
3.60,21.30,0.00,0.33,0.00,2.45,0.67,1.36,0.66,0.76,0.76,0.11,9.67,1.68,0.01,36.42,4.17,0.08,0.17,0.04
3.53,5.43,0.04,2.34,0.00,4.13,0.70,1.51,0.89,0.55,0.55,0.16,8.49,1.49,0.00,37.15,0.25,0.08,0.01,0.09
2.67,25.13,0.03,1.05,0.00,3.58,0.70,1.89,0.70,0.77,0.77,0.17,14.48,1.13,0.00,41.01,4.23,0.02,0.47,0.05
3.04,22.29,0.05,1.87,0.00,2.52,0.46,0.24,0.66,0.09,0.01,0.17,16.17,1.51,0.01,14.55,0.68,0.02,0.09,0.02
1.73,12.32,0.02,3.93,0.00,3.91,0.07,1.89,0.17,0.66,0.66,0.12,16.62,1.19,0.01,59.31,3.75,0.07,0.32,0.02
2.21,29.72,0.02,1.40,0.01,3.71,0.47,1.16,1.06,0.82,0.82,0.12,6.63,1.57,0.00,4.28,7.90,0.04,0.50,0.04
0.37,25.07,0.00,3.33,0.01,0.92,0.79,0.72,0.87,0.17,0.00,0.03,18.62,1.06,0.00,45.82,0.40,0.08,0.31,0.04
1.92,19.73,0.03,1.11,0.01,1.87,0.16,0.02,0.04,0.76,0.76,0.20,10.69,1.33,0.01,15.30,4.80,0.06,0.41,0.02
2.11,28.82,0.03,0.70,0.00,6.29,0.41,0.13,0.82,0.48,0.01,0.09,15.94,1.86,0.00,27.45,2.48,0.05,0.10,0.02
2.12,23.58,0.00,0.57,0.00,4.30,0.82,1.57,0.43,0.04,0.00,0.09,14.77,1.97,0.01,0.91,5.11,0.03,0.20,0.03
0.79,25.24,0.02,0.48,0.00,5.54,0.21,0.03,1.27,0.82,0.82,0.04,16.88,1.29,0.01,29.14,4.72,0.05,0.20,0.07
4.21,17.84,0.01,3.94,0.01,2.26,0.03,1.40,0.50,0.28,0.01,0.04,2.71,1.80,0.00,1.02,7.90,0.04,0.28,0.03
0.99,28.24,0.04,3.57,0.01,2.58,0.65,0.25,1.16,0.98,0.98,0.19,10.96,1.05,0.01,44.03,6.19,0.03,0.17,0.07
2.56,1.36,0.04,3.45,0.00,3.42,0.03,1.39,1.12,0.10,0.00,0.11,9.36,1.58,0.01,42.15,4.39,0.02,0.11,0.07
4.84,0.38,0.00,3.34,0.00,7.88,0.27,1.74,0.36,0.21,0.01,0.19,4.20,1.88,0.00,57.40,2.30,0.06,0.22,0.06
3.94,21.58,0.04,2.90,0.01,5.65,0.08,0.35,1.43,0.71,0.71,0.06,17.79,1.04,0.00,6.89,2.90,0.05,0.46,0.03
3.09,8.21,0.00,3.35,0.00,4.37,0.33,1.94,0.78,0.89,0.89,0.10,12.11,1.51,0.01,56.34,7.62,0.02,0.33,0.04
1.22,1.36,0.01,3.20,0.00,5.72,0.45,1.45,0.52,0.18,0.00,0.09,0.86,1.51,0.01,49.49,6.59,0.01,0.34,0.01
1.72,29.80,0.03,1.88,0.01,6.90,0.77,1.32,1.30,0.73,0.73,0.09,4.79,1.45,0.00,27.32,4.87,0.07,0.49,0.03
0.80,13.59,0.03,3.16,0.00,0.89,0.20,1.06,0.53,0.96,0.96,0.16,11.57,1.64,0.00,35.76,3.42,0.03,0.15,0.03
2.59,27.54,0.00,1.19,0.01,7.14,0.38,1.24,0.14,0.51,0.51,0.03,18.58,1.42,0.00,38.05,1.74,0.03,0.15,0.01
